

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
264.687  000.041  000.041: sourcing /Users/jesushula/.vim/settings/rspec.vim
264.857  000.057  000.057: sourcing /Users/jesushula/.vim/settings/search.vim
265.001  000.015  000.015: sourcing /Users/jesushula/.vim/settings/showmarks.vim
265.264  000.027  000.027: sourcing /Users/jesushula/.vim/settings/smart_jump_to_tag.vim
265.389  000.015  000.015: sourcing /Users/jesushula/.vim/settings/sneak.vim
265.517  000.021  000.021: sourcing /Users/jesushula/.vim/settings/surround.vim
265.752  000.128  000.128: sourcing /Users/jesushula/.vim/settings/syntastic.vim
265.883  000.018  000.018: sourcing /Users/jesushula/.vim/settings/tComment.vim
266.006  000.015  000.015: sourcing /Users/jesushula/.vim/settings/tidy.vim
266.140  000.029  000.029: sourcing /Users/jesushula/.vim/settings/unimpaired.vim
266.263  000.016  000.016: sourcing /Users/jesushula/.vim/settings/vim-closetag.vim
266.388  000.015  000.015: sourcing /Users/jesushula/.vim/settings/vim-conflicted.vim
267.135  000.287  000.287: sourcing /Users/jesushula/.vim/bundle/vim-expand-region/autoload/expand_region.vim
267.290  000.796  000.509: sourcing /Users/jesushula/.vim/settings/vim-expand-region.vim
267.591  000.095  000.095: sourcing /Users/jesushula/.vim/settings/vim-fugitive.vim
267.723  000.016  000.016: sourcing /Users/jesushula/.vim/settings/vim-gitgutter.vim
267.848  000.016  000.016: sourcing /Users/jesushula/.vim/settings/vim-indent-guides.vim
267.967  000.011  000.011: sourcing /Users/jesushula/.vim/settings/vim-jsx.vim
268.099  000.026  000.026: sourcing /Users/jesushula/.vim/settings/vim-multiple-cursors.vim
268.382  000.076  000.076: sourcing /Users/jesushula/.vim/settings/vim-rubytest.vim
268.541  000.017  000.017: sourcing /Users/jesushula/.vim/settings/vim-session.vim
268.695  000.035  000.035: sourcing /Users/jesushula/.vim/settings/vim-tmux-navigator.vim
268.819  000.014  000.014: sourcing /Users/jesushula/.vim/settings/vim-web-indent.vim
276.809  000.238  000.238: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/syntax/syncolor.vim
278.527  000.221  000.221: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/syntax/syncolor.vim
279.885  000.204  000.204: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/syntax/syncolor.vim
281.095  011.895  011.232: sourcing /Users/jesushula/.vim/bundle/molokai/colors/molokai.vim
281.107  012.179  000.284: sourcing /Users/jesushula/.vim/settings/yadr-appearance.vim
281.285  000.026  000.026: sourcing /Users/jesushula/.vim/settings/yadr-guioptions.vim
281.652  000.176  000.176: sourcing /Users/jesushula/.vim/settings/yadr-keymap-mac.vim
282.172  000.402  000.402: sourcing /Users/jesushula/.vim/settings/yadr-keymap.vim
282.428  000.021  000.021: sourcing /Users/jesushula/.vim/settings/yadr-sudo-write.vim
282.576  000.035  000.035: sourcing /Users/jesushula/.vim/settings/yadr-whitespace-killer.vim
282.725  000.039  000.039: sourcing /Users/jesushula/.vim/settings/yadr-window-killer.vim
282.893  000.060  000.060: sourcing /Users/jesushula/.vim/settings/yadr-wrapping.vim
283.032  000.026  000.026: sourcing /Users/jesushula/.vim/settings/yankring.vim
283.059  033.413  017.542: sourcing /Users/jesushula/.yadr/vim/settings.vim
283.067  267.658  005.220: sourcing $HOME/.vimrc
283.071  000.353: sourcing vimrc file(s)
283.860  000.040  000.040: sourcing /Users/jesushula/.vim/bundle/vim-ruby-refactoring/plugin/refactorings/general/addparameter.vim
283.920  000.030  000.030: sourcing /Users/jesushula/.vim/bundle/vim-ruby-refactoring/plugin/refactorings/general/addparameternb.vim
283.970  000.025  000.025: sourcing /Users/jesushula/.vim/bundle/vim-ruby-refactoring/plugin/refactorings/general/extractconstant.vim
284.196  000.200  000.200: sourcing /Users/jesushula/.vim/bundle/vim-ruby-refactoring/plugin/refactorings/general/extractmethod.vim
284.255  000.033  000.033: sourcing /Users/jesushula/.vim/bundle/vim-ruby-refactoring/plugin/refactorings/general/extractvariable.vim
284.314  000.035  000.035: sourcing /Users/jesushula/.vim/bundle/vim-ruby-refactoring/plugin/refactorings/general/inlinetemp.vim
284.372  000.034  000.034: sourcing /Users/jesushula/.vim/bundle/vim-ruby-refactoring/plugin/refactorings/general/introducevariable.vim
284.450  000.054  000.054: sourcing /Users/jesushula/.vim/bundle/vim-ruby-refactoring/plugin/refactorings/general/postconditional.vim
284.517  000.042  000.042: sourcing /Users/jesushula/.vim/bundle/vim-ruby-refactoring/plugin/refactorings/general/renameinstancevariable.vim
284.569  000.028  000.028: sourcing /Users/jesushula/.vim/bundle/vim-ruby-refactoring/plugin/refactorings/general/renamelocalvariable.vim
284.618  000.025  000.025: sourcing /Users/jesushula/.vim/bundle/vim-ruby-refactoring/plugin/refactorings/general/rspec_extractlet.vim
287.778  003.136  003.136: sourcing /Users/jesushula/.vim/bundle/vim-ruby-refactoring/plugin/ruby-refactoring.vim
289.748  001.863  001.863: sourcing /Users/jesushula/.vim/bundle/vim-rake/plugin/rake.vim
290.001  000.105  000.105: sourcing /Users/jesushula/.vim/bundle/vim-spec-finder/plugin/spec-finder.vim
290.140  000.032  000.032: sourcing /Users/jesushula/.vim/bundle/vim-change-hash-syntax/plugin/change-hash-syntax.vim
292.796  002.561  002.561: sourcing /Users/jesushula/.vim/bundle/vim-bundler/plugin/bundler.vim
293.336  000.425  000.425: sourcing /Users/jesushula/.vim/bundle/vim-rubytest/plugin/rubytest.vim
294.201  000.090  000.090: sourcing /Users/jesushula/.vim/bundle/vim-addon-mw-utils/autoload/funcref.vim
294.779  001.334  001.244: sourcing /Users/jesushula/.vim/bundle/vim-snipmate/plugin/snipMate.vim
294.990  000.053  000.053: sourcing /Users/jesushula/.vim/bundle/vim-snippets/plugin/vimsnippets.vim
296.242  000.069  000.069: sourcing /Users/jesushula/.vim/bundle/vim-markdown-preview/plugin/vmp.vim
296.791  000.403  000.403: sourcing /Users/jesushula/.vim/bundle/vim-go/plugin/go.vim
297.445  000.403  000.403: sourcing /Users/jesushula/.vim/bundle/vim-closetag/plugin/closetag.vim
297.673  000.054  000.054: sourcing /Users/jesushula/.vim/bundle/vim-html-escape/plugin/htmlescape.vim
302.814  004.986  004.986: sourcing /Users/jesushula/.vim/bundle/vim-fugitive/plugin/fugitive.vim
303.769  000.116  000.116: sourcing /Users/jesushula/.vim/bundle/vim-gitgutter/autoload/gitgutter/highlight.vim
304.680  001.705  001.589: sourcing /Users/jesushula/.vim/bundle/vim-gitgutter/plugin/gitgutter.vim
304.986  000.184  000.184: sourcing /Users/jesushula/.vim/bundle/vim-conflicted/plugin/conflicted.vim
305.450  000.220  000.220: sourcing /Users/jesushula/.vim/bundle/lightline.vim/plugin/lightline.vim
313.271  007.676  007.676: sourcing /Users/jesushula/.vim/bundle/showmarks/plugin/showmarks.vim
314.171  000.726  000.726: sourcing /Users/jesushula/.vim/bundle/csapprox/plugin/CSApprox.vim
314.402  000.109  000.109: sourcing /Users/jesushula/.vim/bundle/vim-indentobject/plugin/indentobject.vim
315.447  000.571  000.571: sourcing /Users/jesushula/.vim/bundle/vim-textobj-user/autoload/textobj/user.vim
317.164  002.617  002.046: sourcing /Users/jesushula/.vim/bundle/vim-textobj-rubysymbol/plugin/textobj/rubysymbol.vim
317.521  000.177  000.177: sourcing /Users/jesushula/.vim/bundle/textobj-word-column.vim/plugin/textobj/word-column.vim
331.167  013.499  013.499: sourcing /Users/jesushula/.vim/bundle/vim-textobj-entire/plugin/textobj/entire.vim
334.488  003.127  003.127: sourcing /Users/jesushula/.vim/bundle/vim-textobj-function/plugin/textobj/function.vim
347.714  013.042  013.042: sourcing /Users/jesushula/.vim/bundle/vim-textobj-underscore/plugin/textobj/underscore.vim
360.812  012.863  012.863: sourcing /Users/jesushula/.vim/bundle/vim-textobj-rubyblock/plugin/textobj/rubyblock.vim
372.132  011.159  011.159: sourcing /Users/jesushula/.vim/bundle/targets.vim/plugin/targets.vim
372.551  000.260  000.260: sourcing /Users/jesushula/.vim/bundle/vim-expand-region/plugin/expand_region.vim
375.196  002.537  002.537: sourcing /Users/jesushula/.vim/bundle/vim-sneak/plugin/sneak.vim
375.418  000.076  000.076: sourcing /Users/jesushula/.vim/bundle/ag.vim/plugin/ag.vim
375.911  000.390  000.390: sourcing /Users/jesushula/.vim/bundle/IndexedSearch/plugin/IndexedSearch.vim
376.116  000.094  000.094: sourcing /Users/jesushula/.vim/bundle/vim-visual-star-search/plugin/visual-star-search.vim
376.497  000.283  000.283: sourcing /Users/jesushula/.vim/bundle/greplace.vim/plugin/greplace.vim
385.599  008.996  008.996: sourcing /Users/jesushula/.vim/bundle/vim-easymotion/plugin/EasyMotion.vim
386.790  000.158  000.158: sourcing /Users/jesushula/.vim/bundle/nerdtree/autoload/nerdtree.vim
388.323  000.513  000.513: sourcing /Users/jesushula/.vim/bundle/nerdtree/lib/nerdtree/path.vim
388.843  000.134  000.134: sourcing /Users/jesushula/.vim/bundle/nerdtree/lib/nerdtree/menu_controller.vim
389.290  000.091  000.091: sourcing /Users/jesushula/.vim/bundle/nerdtree/lib/nerdtree/menu_item.vim
389.759  000.120  000.120: sourcing /Users/jesushula/.vim/bundle/nerdtree/lib/nerdtree/key_map.vim
390.331  000.220  000.220: sourcing /Users/jesushula/.vim/bundle/nerdtree/lib/nerdtree/bookmark.vim
391.018  000.314  000.314: sourcing /Users/jesushula/.vim/bundle/nerdtree/lib/nerdtree/tree_file_node.vim
392.131  000.740  000.740: sourcing /Users/jesushula/.vim/bundle/nerdtree/lib/nerdtree/tree_dir_node.vim
393.403  000.699  000.699: sourcing /Users/jesushula/.vim/bundle/nerdtree/lib/nerdtree/opener.vim
394.937  000.812  000.812: sourcing /Users/jesushula/.vim/bundle/nerdtree/lib/nerdtree/creator.vim
395.639  000.189  000.189: sourcing /Users/jesushula/.vim/bundle/nerdtree/lib/nerdtree/flag_set.vim
396.354  000.327  000.327: sourcing /Users/jesushula/.vim/bundle/nerdtree/lib/nerdtree/nerdtree.vim
397.374  000.661  000.661: sourcing /Users/jesushula/.vim/bundle/nerdtree/lib/nerdtree/ui.vim
397.834  000.051  000.051: sourcing /Users/jesushula/.vim/bundle/nerdtree/lib/nerdtree/event.vim
398.526  000.120  000.120: sourcing /Users/jesushula/.vim/bundle/nerdtree/lib/nerdtree/notifier.vim
399.527  000.569  000.569: sourcing /Users/jesushula/.vim/bundle/nerdtree/autoload/nerdtree/ui_glue.vim
422.322  001.769  001.769: sourcing /Users/jesushula/.vim/bundle/nerdtree-git-plugin/nerdtree_plugin/git_status.vim
423.912  001.097  001.097: sourcing /Users/jesushula/.vim/bundle/vim-nerdtree-tabs/nerdtree_plugin/vim-nerdtree-tabs.vim
424.216  000.126  000.126: sourcing /Users/jesushula/.vim/bundle/nerdtree/nerdtree_plugin/exec_menuitem.vim
424.875  000.627  000.627: sourcing /Users/jesushula/.vim/bundle/nerdtree/nerdtree_plugin/fs_menu.vim
426.885  041.106  031.769: sourcing /Users/jesushula/.vim/bundle/nerdtree/plugin/NERD_tree.vim
428.011  000.267  000.267: sourcing /Users/jesushula/.vim/bundle/ctrlp.vim/autoload/ctrlp/mrufiles.vim
428.325  001.313  001.046: sourcing /Users/jesushula/.vim/bundle/ctrlp.vim/plugin/ctrlp.vim
428.553  000.052  000.052: sourcing /Users/jesushula/.vim/bundle/vim-misc/plugin/xolox/misc.vim
429.092  000.025  000.025: sourcing /Users/jesushula/.vim/bundle/vim-misc/autoload/xolox/misc.vim
429.745  000.207  000.207: sourcing /Users/jesushula/.vim/bundle/vim-misc/autoload/xolox/misc/os.vim
430.494  000.070  000.070: sourcing /Users/jesushula/.vim/bundle/vim-misc/autoload/xolox/misc/cursorhold.vim
430.606  001.952  001.650: sourcing /Users/jesushula/.vim/bundle/vim-session/plugin/session.vim
431.187  000.049  000.049: sourcing /Users/jesushula/.vim/bundle/splitjoin.vim/autoload/sj/settings.vim
431.456  000.736  000.687: sourcing /Users/jesushula/.vim/bundle/splitjoin.vim/plugin/splitjoin.vim
432.901  000.461  000.461: sourcing /Users/jesushula/.vim/bundle/delimitMate/autoload/delimitMate.vim
436.239  004.672  004.211: sourcing /Users/jesushula/.vim/bundle/delimitMate/plugin/delimitMate.vim
436.592  000.068  000.068: sourcing /Users/jesushula/.vim/bundle/neocomplete/plugin/neocomplete/buffer.vim
436.675  000.054  000.054: sourcing /Users/jesushula/.vim/bundle/neocomplete/plugin/neocomplete/dictionary.vim
436.752  000.051  000.051: sourcing /Users/jesushula/.vim/bundle/neocomplete/plugin/neocomplete/member.vim
